model,impute_strategy,fit_time_mean,score_time_mean,test_f1_mean,test_f1_min,test_f1_max,test_f1_std,train_f1_mean,train_f1_min,train_f1_max,train_f1_std,test_balanced_accuracy_mean,test_balanced_accuracy_min,test_balanced_accuracy_max,test_balanced_accuracy_std,train_balanced_accuracy_mean,train_balanced_accuracy_min,train_balanced_accuracy_max,train_balanced_accuracy_std,test_roc_auc_mean,test_roc_auc_min,test_roc_auc_max,test_roc_auc_std,train_roc_auc_mean,train_roc_auc_min,train_roc_auc_max,train_roc_auc_std,test_accuracy_mean,test_accuracy_min,test_accuracy_max,test_accuracy_std,train_accuracy_mean,train_accuracy_min,train_accuracy_max,train_accuracy_std,test_recall_mean,test_recall_min,test_recall_max,test_recall_std,train_recall_mean,train_recall_min,train_recall_max,train_recall_std,test_precision_mean,test_precision_min,test_precision_max,test_precision_std,train_precision_mean,train_precision_min,train_precision_max,train_precision_std,fit_time_min,fit_time_max,fit_time_std,score_time_min,score_time_max,score_time_std,num_rows_dropped
"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, gamma=None,
              gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_to_onehot=None, max_delta_step=None, max_depth=None,
              max_leaves=None, min_child_weight=None, missing=nan,
              monotone_constraints=None, n_estimators=100, n_jobs=10,
              num_parallel_tree=None, predictor=None, random_state=7742,
              reg_alpha=None, reg_lambda=None, ...)",mean,8.49572126865387,0.024762296676635744,0.7369526228039247,0.6824324324324325,0.782608695652174,0.03245919621820924,0.995640926337298,0.9946587537091988,0.9976331360946745,0.0010136887200310296,0.8017276197158862,0.7663888817734972,0.8340305357490301,0.02100708549673626,0.9956886034949981,0.9946871310507674,0.9976387249114522,0.0009905208565917218,0.974236989014001,0.9667326975019283,0.9818250489281586,0.004999924237041512,0.999999221045039,0.9999972657360244,1.0,7.588898412038406e-07,0.9792648876443885,0.975940619401075,0.982078853046595,0.0021130978502464674,0.999581882948817,0.9994880254849536,0.9997724557710905,9.691532568772762e-05,0.6052572329168073,0.5343915343915344,0.6702127659574468,0.042076003259914105,0.9913801952759156,0.9893742621015348,0.9952774498229043,0.001979767693266169,0.9448740753219159,0.916030534351145,0.9814814814814815,0.02204021864145168,0.9999404052443385,0.9994040524433849,1.0,0.00017878426698452187,5.685203552246094,9.907172441482544,1.4798645753835347,0.015625953674316406,0.03568625450134277,0.007881426997404453,0
"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, gamma=None,
              gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_to_onehot=None, max_delta_step=None, max_depth=None,
              max_leaves=None, min_child_weight=None, missing=nan,
              monotone_constraints=None, n_estimators=100, n_jobs=10,
              num_parallel_tree=None, predictor=None, random_state=7742,
              reg_alpha=None, reg_lambda=None, ...)",median,10.429643702507018,0.0228071928024292,0.736887064727286,0.6819672131147541,0.7875000000000001,0.029082178183156976,0.9939393808902028,0.9916617033948779,0.9964454976303319,0.0014405669311479308,0.8012226371635128,0.773518504287735,0.8342994975564534,0.017917708889851742,0.9939779291213002,0.9917306556408743,0.9964580873671782,0.0014235751289716568,0.9752748597317051,0.9644340929119979,0.9817712951891664,0.005068013673081948,0.9999989925915228,0.9999975303422156,0.9999997530342215,7.163470522052666e-07,0.979264979383047,0.9751727668287689,0.9825908858166923,0.0020006535172074867,0.9994197552586324,0.9992035725460079,0.9996586836566358,0.0001371207672357702,0.6041934031295733,0.5502645502645502,0.6702127659574468,0.03571601731597534,0.9879558582426003,0.9834613112817484,0.9929161747343566,0.002847150257943332,0.9461843468996396,0.896551724137931,0.9910714285714286,0.02453337297900942,1.0,1.0,1.0,0.0,7.236293077468872,11.877903699874878,1.652962684106279,0.0075054168701171875,0.035687923431396484,0.00817181783937073,0
"LGBMClassifier(n_jobs=10, random_state=7742)",mean,1.6045698404312134,0.02395894527435303,0.7353925487652693,0.7066666666666666,0.7756410256410257,0.02033933790866881,0.9133656182646247,0.910025706940874,0.919108280254777,0.00264232533077284,0.7974803063083366,0.7787173955340895,0.8214050679271628,0.01387611357195861,0.9207677709136519,0.9181477333012888,0.9258701698080243,0.0022365090395167456,0.9737195483340757,0.9628446430819589,0.9800653519966122,0.004559099256277865,0.9996497013955515,0.999554113498241,0.9997703747472835,6.642503085928937e-05,0.97936725488184,0.9774763245456872,0.982078853046595,0.0012645649320243437,0.9923089165550987,0.9920357254600791,0.9927754707321236,0.0002159800589824064,0.596197793538219,0.5585106382978723,0.6436170212765957,0.027969401649040368,0.8415982959209078,0.8363851151801536,0.8518299881936245,0.004474386109521104,0.9611625820161753,0.9285714285714286,0.9907407407407407,0.017231703336863913,0.9985297500171179,0.9971910112359551,1.0,0.000855256494300991,0.5187990665435791,1.9464399814605713,0.4030887678286773,0.015622377395629883,0.03997659683227539,0.008626951844529884,0
"LGBMClassifier(n_jobs=10, random_state=7742)",median,0.9040608644485474,0.025838255882263184,0.7217745774835014,0.6872852233676976,0.7597402597402596,0.02333295551883756,0.9057558005779409,0.9009067357512953,0.91403004154682,0.003516033110608564,0.789695316598513,0.765554112578879,0.8107667700548224,0.014826522021168667,0.9146393094508849,0.910749448693902,0.9220032149299422,0.002963458192601039,0.9743849840281709,0.9646925220117512,0.9821202794162238,0.005175362067091558,0.9995993463455106,0.9994468848583447,0.999725653112569,8.668694603682187e-05,0.9784713285893961,0.9767025089605734,0.9810547875064004,0.0014621560797126658,0.9916860072708105,0.9912961856813721,0.9923488253029182,0.00028390233215026876,0.5807891478104243,0.5319148936170213,0.6223404255319149,0.029762428907730478,0.8293772328729101,0.8216184288245718,0.8441558441558441,0.005929779076071604,0.9550283884905738,0.926829268292683,0.975,0.018429816335437565,0.997657338130735,0.9964311206281228,0.9985835694050992,0.0007763909871515926,0.643223762512207,1.0625834465026855,0.1672731110215996,0.022005319595336914,0.03301882743835449,0.004385156342839905,0
"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, gamma=None,
              gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_to_onehot=None, max_delta_step=None, max_depth=None,
              max_leaves=None, min_child_weight=None, missing=nan,
              monotone_constraints=None, n_estimators=100, n_jobs=10,
              num_parallel_tree=None, predictor=None, random_state=7742,
              reg_alpha=None, reg_lambda=None, ...)",knn150,88.06123445034027,17.94694972038269,0.6592910638960191,0.6319444444444444,0.7016393442622951,0.020441233946551708,0.9870125671677563,0.9807460890493381,0.9919666765843498,0.003235998718170339,0.7553248264432078,0.7396648935110474,0.7832296590479897,0.012996723943967151,0.9872166225414085,0.9811097992916175,0.9920306965761512,0.003180459274385235,0.9614361229743207,0.9496440547995377,0.9668819314891328,0.004997066850308723,0.99998779631186,0.9999543099656386,0.9999984211358783,1.4635215528775252e-05,0.9745034219174926,0.9726062467997952,0.9767025089605734,0.0012595214076708975,0.9987655582383546,0.9981795943908752,0.9992320163836504,0.0003034834666461639,0.5127744005403579,0.48148148148148145,0.5691489361702128,0.026365592414385193,0.9744362333687361,0.9622195985832349,0.9840613931523022,0.006364318733571802,0.9258251446898651,0.8818181818181818,0.9791666666666666,0.031177098118982723,0.9999398677089598,0.9993986770895971,1.0,0.00018039687312088049,82.31490635871887,91.38067674636841,2.8554340992513265,15.10228419303894,19.641389846801758,1.4821707300495097,0
"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, gamma=None,
              gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_to_onehot=None, max_delta_step=None, max_depth=None,
              max_leaves=None, min_child_weight=None, missing=nan,
              monotone_constraints=None, n_estimators=100, n_jobs=10,
              num_parallel_tree=None, predictor=None, random_state=7742,
              reg_alpha=None, reg_lambda=None, ...)",knn100,83.60198063850403,16.602148056030273,0.6474943779684829,0.627177700348432,0.6756756756756757,0.015022715493055314,0.9849214059312932,0.9782870928829915,0.9892601431980906,0.002747706375684865,0.7472308961828433,0.7370193908655447,0.7648815995788172,0.009878354702115023,0.9851796915295541,0.9787485242030697,0.9893742621015349,0.0026531636975891722,0.961546472721631,0.9527972027972028,0.968380622226776,0.005316345418959311,0.9999914057130728,0.999981442285791,0.9999961697693771,4.361915100515722e-06,0.9739914088056792,0.9726132582544151,0.9754287176862042,0.000818797715168981,0.9985692998846682,0.9979521019398145,0.9989760509699073,0.00025631654909807607,0.49629066756726337,0.47619047619047616,0.5319148936170213,0.020144102981216824,0.9703623713450271,0.9574970484061394,0.9787485242030697,0.005305723436098191,0.9330983645675612,0.8918918918918919,0.9574468085106383,0.021629259862162957,0.9999391357273281,0.9993913572732805,1.0,0.0001825928180158365,78.15397882461548,87.48919582366943,3.2238040661111165,15.165567636489868,18.287114143371582,1.0640688304705033,0
"LGBMClassifier(n_jobs=10, random_state=7742)",knn150,78.92068524360657,16.942939949035644,0.6404308285432905,0.5857142857142857,0.6802721088435373,0.029165423343734422,0.861836984265004,0.8557951482479784,0.8688688688688688,0.003993687305683917,0.7408876538124034,0.7157208887978119,0.7651505613862406,0.014687524272799662,0.8790569726729427,0.8747926545885818,0.884282578785055,0.003026274046438279,0.9596456888012362,0.9497298936742471,0.968663814817661,0.006227471576484336,0.9987985906687395,0.998434395728367,0.9990847712856982,0.00018821538359770906,0.973914590784642,0.9703097005374968,0.9759344598054276,0.0017899919821428858,0.9882898740570653,0.9878263837533421,0.9888215718064681,0.00029986863745531353,0.48301249577845323,0.43386243386243384,0.5319148936170213,0.02907849086824683,0.7581766995287911,0.7497048406139315,0.768595041322314,0.006045599090139348,0.9517299019380256,0.9010989010989011,0.979381443298969,0.02637716137345276,0.9983670609457056,0.9968602825745683,0.9992325402916347,0.0010692669081201307,74.95805382728577,85.19882345199585,3.3806729613788367,14.608797311782837,19.22028660774231,1.491913474889892,0
"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, gamma=None,
              gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_to_onehot=None, max_delta_step=None, max_depth=None,
              max_leaves=None, min_child_weight=None, missing=nan,
              monotone_constraints=None, n_estimators=100, n_jobs=10,
              num_parallel_tree=None, predictor=None, random_state=7742,
              reg_alpha=None, reg_lambda=None, ...)",knn40,81.39758179187774,15.545752215385438,0.6319712377199442,0.5907473309608541,0.6666666666666667,0.024616418149033984,0.9831510444566185,0.9791980705456738,0.9901639344262295,0.003079381716115677,0.7403794552070161,0.719399871813947,0.7643436759639706,0.01376622581504792,0.9834392745738931,0.9796219728292971,0.9902597402597403,0.0029873659353216553,0.9569565878228813,0.9405394114886749,0.9635499525024893,0.006873481244068177,0.9999808113038634,0.9999349068769667,0.9999945491124613,1.5921485146852357e-05,0.9729418857877292,0.9705581157194061,0.9746608651138982,0.001456460042004333,0.9984043253027297,0.9980373752026623,0.9990613800557483,0.0002876855799901234,0.4830181245074862,0.44148936170212766,0.5319148936170213,0.027615244489307095,0.966878549147786,0.9592439456585942,0.9805194805194806,0.005974731870643308,0.9160614542933743,0.87,0.9587628865979382,0.02589249739436693,1.0,1.0,1.0,0.0,73.52076411247253,87.8608124256134,4.377954649020332,12.688660860061646,18.438612699508667,2.168753222155024,0
"LGBMClassifier(n_jobs=10, random_state=7742)",knn100,78.24375905990601,16.819655966758727,0.6315616464098379,0.5899280575539569,0.671280276816609,0.024795340070559124,0.8583555574989037,0.8549257759784076,0.8645031783205086,0.0031772980373792306,0.7365544749499573,0.7170092591532853,0.7574407997894086,0.01174049909039253,0.8764533667710446,0.8739221178599723,0.8813011025116844,0.0023979799583875886,0.9602588245041472,0.9514397029629333,0.9664817813070317,0.00437584637153091,0.998757700886614,0.9984521632083508,0.999034428866369,0.0002009696178481286,0.9733514792400003,0.9708141321044547,0.9759344598054276,0.0015873034111038543,0.9880281931778404,0.9877694976961147,0.9884805734114569,0.00023777882773498354,0.4745074862096138,0.43617021276595747,0.5159574468085106,0.02304145444322691,0.7529814410472736,0.7479338842975206,0.7626918536009445,0.004790690391161864,0.9446767152149693,0.9111111111111111,0.9895833333333334,0.023772091863084915,0.9980434928702835,0.9968578161822467,0.9992223950233281,0.0008759486325331163,73.66192960739136,84.32425260543823,3.19967869436154,15.169372320175171,18.63514471054077,1.2023732534619507,0
"XGBClassifier(base_score=None, booster=None, callbacks=None,
              colsample_bylevel=None, colsample_bynode=None,
              colsample_bytree=None, early_stopping_rounds=None,
              enable_categorical=False, eval_metric=None, gamma=None,
              gpu_id=None, grow_policy=None, importance_type=None,
              interaction_constraints=None, learning_rate=None, max_bin=None,
              max_cat_to_onehot=None, max_delta_step=None, max_depth=None,
              max_leaves=None, min_child_weight=None, missing=nan,
              monotone_constraints=None, n_estimators=100, n_jobs=10,
              num_parallel_tree=None, predictor=None, random_state=7742,
              reg_alpha=None, reg_lambda=None, ...)",knn30,81.75370004177094,15.68749144077301,0.6311656335867785,0.574468085106383,0.6845637583892618,0.03508580288124821,0.984315151570866,0.9798131967460079,0.9883547327560466,0.0024273878051430924,0.7391600779086096,0.7105643644105182,0.7702007485149874,0.01772732043149917,0.9846170806945361,0.9802126402835204,0.9884887839433294,0.002329440984475355,0.9579724140926011,0.9403591498517849,0.9680207445378248,0.0069841539522002265,0.9999844314689754,0.9999246048759229,0.999994951861944,2.0170609550016685e-05,0.9730186513866756,0.9692780337941628,0.9759344598054276,0.0021544694984773744,0.9985124114003542,0.9980942628779474,0.9988907218840662,0.00022650368831817575,0.48036417876843407,0.42328042328042326,0.5425531914893617,0.03508151157966278,0.9692401380502116,0.9604252805670408,0.9769775678866588,0.004656675489579386,0.9221104443579511,0.8617021276595744,0.9690721649484536,0.031060232048077823,0.9998780471481623,0.9993880048959608,1.0,0.0002439077440737478,75.98540234565735,89.16449165344238,3.808424228796862,13.327135801315308,18.853511571884155,1.6792208926611591,0
